ID,XENLA_XenBase_GeneNames,XENLA_GenBank_Description,HUMAN_UniProt_GeneNames,eggNOG_annotation
ENOG411CZMD,"guca1c.S, guca1c.L",NA,GUCA1C,guanylate cyclase activator 1C
ENOG411CZME,"prl.2.L, prl.2.S","prolactin, gene 1 [Xenopus laevis], uncharacterized protein LOC734391 [Xenopus laevis], prolactin 2 [Xenopus laevis], prolactin, xPRL-I [Xenopus laevis, pituitary glands, Peptide Partial, 83 aa, segment 2 of 2], prolactin, xPRL-II [Xenopus laevis, pituitary glands, Peptide Partial, 83 aa, segment 2 of 2], NA",PRL,prolactin
ENOG411CZMF,"duox2.S, duox2.L, duox1.L",NA,"DUOX1, DUOX2",Dual oxidase
ENOG411CZMG,"nsf.S, nsf.L","N-ethylmaleimide sensitive factor [Xenopus laevis], LOC100049722 protein [Xenopus laevis], NA",NSF,N-ethylmaleimide-sensitive factor
ENOG411CZMH,"angptl4.S, angptl4.L",NA,ANGPTL4,angiopoietin-like 4
ENOG411CZMJ,"cpsf3l.S, cpsf3l.L",NA,INTS11,cleavage and polyadenylation specific factor 3-like
ENOG411CZMK,xrcc3.L,"X-ray repair complementing defective repair in Chinese hamster cells 3 [Xenopus laevis], NA",XRCC3,X-ray repair complementing defective repair in Chinese hamster cells 3
ENOG411CZMM,"wfdc1.L, wfdc1.S",NA,WFDC1,WAP four-disulfide core domain 1
ENOG411CZMN,NA,"LOC100037026 protein [Xenopus laevis], LOC100037233 protein [Xenopus laevis], Unknown (protein for MGC:181784) [Xenopus laevis]",SNF8,"SNF8, ESCRT-II complex subunit, homolog (S. cerevisiae)"
ENOG411CZMP,loc100489307.L,NA,NA,CAP-Gly domain
ENOG411CZMQ,"dusp9.S, dusp9.L",NA,DUSP9,dual specificity phosphatase 9
ENOG411CZMR,NA,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit s (factor B) [Xenopus laevis]",DMAC2L,"ATP synthase, H transporting, mitochondrial Fo complex, subunit s (factor B)"
ENOG411CZMU,"sobp.S, sobp.L",NA,SOBP,sine oculis binding protein homolog (Drosophila)
ENOG411CZMV,"ccdc125.L, ccdc125.S",NA,CCDC125,Coiled-coil domain containing 125
ENOG411CZN1,Xetrov90003513m.L,NA,SHLD3,NA
ENOG411CZN5,NA,MGC154345 protein [Xenopus laevis],NA,acyl coa dehydrogenase 6-like
ENOG411CZN6,"Xetrov90016849m.L, asph.S","LOC100137711 protein [Xenopus laevis], NA",ASPH,aspartate beta-hydroxylase
ENOG411CZN7,NA,"small nuclear RNA activating complex, polypeptide 1, 43kDa [Xenopus laevis]",SNAPC1,"Small nuclear RNA activating complex, polypeptide 1, 43kDa"
ENOG411CZN9,zbbx.L,NA,ZBBX,"zinc finger, B-box domain containing"
ENOG411CZNA,mvk.L,NA,MVK,mevalonate kinase
ENOG411CZNB,lsm12.L,"protein LSM12 homolog [Xenopus laevis], NA",LSM12,LSM12 homolog (S. cerevisiae)
ENOG411CZNF,"pip5kl1-like.L, pip5kl1.S","LOC733401 protein [Xenopus laevis], NA",PIP5KL1,Phosphatidylinositol-4-phosphate 5-kinase-like 1
ENOG411CZNG,nars2.S,NA,NARS2,"Asparaginyl-tRNA synthetase 2, mitochondrial"
ENOG411CZNH,taf1b.S,"TATA box binding protein (TBP)-associated factor, RNA polymerase I, B, 63kDa [Xenopus laevis], MGC52843 protein [Xenopus laevis], NA",TAF1B,"TATA box binding protein (Tbp)-associated factor, RNA polymerase I, B"
ENOG411CZNJ,"hagh.S, hagh.L","hydroxyacylglutathione hydrolase [Xenopus laevis], NA",HAGH,Hydroxyacylglutathione hydrolase
ENOG411CZNK,tmem33.S,"transmembrane protein 33 [Xenopus laevis], NA",TMEM33,Transmembrane protein 33
ENOG411CZNP,loc100493594.L,NA,NA,receptor-type tyrosine-protein phosphatase V-like
ENOG411CZNQ,NA,"actin, alpha 1, skeletal muscle [Xenopus laevis], unnamed protein product [Xenopus laevis]",NA,ACTIN
ENOG411CZNR,tfb1m.L,"dimethyladenosine transferase 1, mitochondrial [Xenopus laevis], NA",TFB1M,"transcription factor B1, mitochondrial"
ENOG411CZNS,"Xelaev18016327m.g, Xelaev18016328m.g","ankyrin repeat domain 49 [Xenopus laevis], LOC432001 protein [Xenopus laevis], NA",ANKRD49,Ankyrin repeat domain 49
ENOG411CZNT,"smap1.L, smap2.L, smap1.S, smap2.S","small ArfGAP 1 [Xenopus laevis], small ArfGAP2 [Xenopus laevis], LOC443647 protein [Xenopus laevis], LOC733260 protein [Xenopus laevis], Unknown (protein for MGC:130627) [Xenopus laevis], NA",SMAP1,small ArfGAP 1
ENOG411CZNW,pipox.L,"pipecolic acid oxidase [Xenopus laevis], NA",PIPOX,Pipecolic acid oxidase
ENOG411CZNX,"Xelaev18004440m.g, klf4.L, klf4.S","Kruppel-like factor 4 [Xenopus laevis], NA",KLF4,Kruppel-like factor 4 (Gut)
ENOG411CZNY,"apc.S, apc.L","adenomatous polyposis coli homolog [Xenopus laevis], NA","APC, NA",adenomatous polyposis coli
ENOG411CZNZ,loc101735273.1.L,NA,RABEP2,"rabaptin, RAB GTPase binding effector protein 2"
ENOG411CZP0,"foxd3.S, foxd3.L","winged helix transcription factor [Xenopus laevis], NA","FOXD4L6, FOXD4L3, FOXD4L4, FOXD4L5, FOXD4, FOXD4L1",forkhead box
ENOG411CZP3,NA,"LOC734183 protein [Xenopus laevis], serpin peptidase inhibitor, clade I (neuroserpin), member 1 precursor [Xenopus laevis], neuroserpin precursor [Xenopus laevis]",SERPINI1,Serpin peptidase inhibitor clade I neuroserpin member 1
ENOG411CZP4,ccdc132-like.L,NA,VPS50,Coiled-coil domain containing 132
ENOG411CZP6,"loc100494514.L, loc100494514.S",NA,SUCNR1,succinate receptor 1
ENOG411CZP7,c1orf127.L,NA,C1orf127,chromosome 1 open reading frame 127
ENOG411CZP8,rabepk.L,"rab9 effector protein with kelch motifs [Xenopus laevis], NA",RABEPK,rab9 effector protein with kelch motifs
ENOG411CZP9,"wdr12.L, wdr12.S",NA,WDR12,WD repeat domain 12
ENOG411CZPA,twistnb.L,"LOC443718 protein [Xenopus laevis], NA",TWISTNB,Twist neighbor
ENOG411CZPB,loc100496969.L,NA,NA,Inherit from biNOG: Heparanalpha-glucosaminide N-acetyltransferase
ENOG411CZPC,"Xelaev18008993m.g, Xelaev18023037m.g","RecName: Full=ATP-dependent DNA helicase PIF1, MGC115521 protein [Xenopus laevis], NA",PIF1,PIF1 5'-to-3' DNA helicase homolog (S. cerevisiae)
ENOG411CZPD,NA,"Nemp1a protein [Xenopus laevis], LOC100037004 protein [Xenopus laevis], nuclear envelope integral membrane protein 1a [Xenopus laevis]","NEMP1, NEMP2",Transmembrane protein 194A
ENOG411CZPJ,hbox10.S,"homeobox-containing protein [Xenopus laevis], NA",NOBOX,NOBOX oogenesis homeobox
ENOG411CZPK,"mlx.S, mlx.L",NA,MLX,"MLX, MAX dimerization protein"
ENOG411CZPN,pspc1.L,NA,PSPC1,Paraspeckle component 1
ENOG411CZPQ,Xetrov90000114m.S,NA,NA,"catenin (cadherin-associated protein), alpha 2"
ENOG411CZPR,loc100487674-like.L,NA,NA,Carboxymuconolactone decarboxylase family
ENOG411CZPS,ppap2c.L,"phosphatidic acid phosphatase type 2C [Xenopus laevis], LOC443680 protein [Xenopus laevis], NA",PLPP2,phosphatidic acid phosphatase type 2C
ENOG411CZPW,"npepl1.L, npepl1.S","Lap-1 protein [Xenopus laevis], aminopeptidase-like 1 [Xenopus laevis], NA",NPEPL1,Aminopeptidase-like 1
ENOG411CZPX,"Xelaev18003600m.g, Xelaev18024843m.g","CKLF-like MARVEL transmembrane domain containing 3 [Xenopus laevis], NA",CMTM3,CKLF-like MARVEL transmembrane domain containing 3
ENOG411CZPY,"spata2.S, spata2.L","spermatogenesis associated 2 [Xenopus laevis], NA",SPATA2,spermatogenesis associated 2
ENOG411CZQ1,efnb2.S,"ephrin-B2 [Xenopus laevis], ephrin-B2b [Xenopus laevis], ephrin-B2 precursor [Xenopus laevis], NA",EFNB2,Ephrin-B2
ENOG411CZQ2,"Xelaev18000871m.g, Xelaev18019193m.g, Xelaev18019192m.g, gal3st4-like.2.L, Xelaev18019195m.g, loc100495161.L, Xelaev18000870m.g, Xelaev18000872m.g, gal3st2.S, gal3st4-like.2.S, gal3st2.L, gal3st1.L, Xelaev18019194m.g, Xelaev18000874m.g, gal3st1.S","galactose-3-O-sulfotransferase 4 [Xenopus laevis], NA","GAL3ST1, GAL3ST4, GAL3ST2",Galactose-3-O-sulfotransferase
ENOG411CZQ3,"sdhaf2.S, sdhaf2.L",NA,SDHAF2,succinate dehydrogenase complex assembly factor 2
ENOG411CZQ5,zdhhc24.L,NA,ZDHHC24,"Zinc finger, DHHC-type containing 24"
ENOG411CZQ7,loc407755.L,NA,NA,Serpentine type 7TM GPCR chemoreceptor Srv
ENOG411CZQA,"tbc1d13.S, tbc1d13.L",NA,TBC1D13,"TBC1 domain family, member 13"
ENOG411CZQB,Xetrov90008250m.L,"integumentary mucin (FIM-B.1) [Xenopus laevis], NA",NA,Cystine-knot domain
ENOG411CZQD,"mrps31.L, mrps31.S",NA,MRPS31,Mitochondrial ribosomal protein S31
ENOG411CZQE,"loc100493914.S, il12b.S",NA,IL12B,"interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)"
ENOG411CZQF,"slc12a5.L, slc12a5.S",NA,SLC12A7,Solute carrier family 12 (Potassium chloride
ENOG411CZQG,"Xelaev18005341m.g, Xelaev18005340m.g","LOC100036997 protein [Xenopus laevis], cytochrome P450, family 4, subfamily V, polypeptide 2 [Xenopus laevis], cytochrome P450, family 4, subfamily V, polypeptide 4 [Xenopus laevis], NA",NA,"Cytochrome P450, family 4, subfamily v, polypeptide 2"
ENOG411CZQI,"yjefn3.S, yjefn3.L",NA,YJEFN3,YjeF N-terminal domain containing 3
ENOG411CZQJ,"cdh26.S, cdh26.L, loc100492690.S, loc100492690.L, Xelaev18046247m.g","Unknown (protein for IMAGE:5570937) [Xenopus laevis], NA",CDH26,cadherin 26
ENOG411CZQK,"rorb.2.S, rorb.2.L",NA,NA,nuclear receptor ROR-beta-like
ENOG411CZQN,slc39a11.L,NA,SLC39A11,"Solute carrier family 39 (Metal ion transporter), member 11"
ENOG411CZQP,"krt222.L, krt222.S",NA,KRT222,keratin 222
ENOG411CZQQ,cenpi.L,NA,CENPI,Centromere protein I
ENOG411CZQR,"aen.S, aen.L","apoptosis-enhancing nuclease [Xenopus laevis], NA",AEN,apoptosis enhancing nuclease
ENOG411CZQS,NA,Tbccd1 protein [Xenopus laevis],TBCCD1,TBCC domain containing 1
ENOG411CZQT,loc100498212.L,"manganese-dependent ADP-ribose/CDP-alcohol diphosphatase [Xenopus laevis], NA",ADPRM,"ADP-ribose CDP-alcohol diphosphatase, manganese-dependent"
ENOG411CZQV,rpl10a.S,"60S ribosomal protein L10a [Xenopus laevis], ribosomal protein L10a [Xenopus laevis], NA",RPL10A,ribosomal protein L10A
ENOG411CZQW,None,NA,NA,Phosphatidylinositol transfer protein
ENOG411CZQX,NA,"phosphoglycerate mutase 2 (muscle) [Xenopus laevis], MGC84250 protein [Xenopus laevis]",PGAM2,phosphoglycerate mutase
ENOG411CZQY,lrrc56.L,NA,LRRC56,leucine rich repeat containing 56
ENOG411CZR2,gps1.S,"COP9 signalosome complex subunit 1 [Xenopus laevis], uncharacterized protein LOC734596 [Xenopus laevis], NA",GPS1,G protein pathway suppressor 1
ENOG411CZR3,trpt1.L,NA,TRPT1,tRNA phosphotransferase 1
ENOG411CZR5,"col11a1-like.L, col11a1-like.S",NA,COL5A3,"collagen, type V, alpha 3"
ENOG411CZR7,"mylip.S, mylip.L","myosin regulatory light chain interacting protein [Xenopus laevis], MGC83623 protein [Xenopus laevis], NA",MYLIP,myosin regulatory light chain interacting protein
ENOG411CZR8,"ppwd1.S, ppwd1.L","LOC100036992 protein [Xenopus laevis], NA",PPWD1,Peptidylprolyl isomerase domain and WD repeat containing 1
ENOG411CZRB,"loc100495690-like.S, loc100495690.L, Xetrov90027157m.S, Xetrov90027155m.S",NA,NA,Myosin tail
ENOG411CZRC,"Xelaev18019796m.g, Xelaev18024436m.g, tmem178a.L, Xelaev18021928m.g","transmembrane protein 178 precursor [Xenopus laevis], NA","TMEM178B, TMEM178A",transmembrane protein 178A
ENOG411CZRD,"slc10a2.L, loc100498575.S, slc10a2.S, loc100498575.L",NA,SLC10A2,"Solute carrier family 10 (Sodium bile acid cotransporter family), member 2"
ENOG411CZRE,cep41.L,"Tsga14 protein [Xenopus laevis], centrosomal protein 41kDa [Xenopus laevis], NA",CEP41,centrosomal protein 41kDa
ENOG411CZRF,"kcnmb3-like.S, kcnmb3-like.L",NA,KCNMB3,"potassium large conductance calcium-activated channel, subfamily M, beta member 3"
ENOG411CZRG,Xetrov90026185m.L,NA,NA,actin binding LIM protein 1
ENOG411CZRH,dctn1.S,"dynactin subunit 1 [Xenopus laevis], NA",DCTN1,Dynactin 1
ENOG411CZRI,npat.S,"Npat protein [Xenopus laevis], NA",NPAT,"Nuclear protein, ataxia-telangiectasia locus"
ENOG411CZRJ,fgf13.S,"fibroblast growth factor 13 [Xenopus laevis], fibroblast growth factor 13 isoform v [Xenopus laevis], fibroblast growth factor 13 isoform s [Xenopus laevis], NA",FGF13,Fibroblast growth factor 13
ENOG411CZRN,socs3.S,"suppressor of cytokine signaling 3 [Xenopus laevis], NA",SOCS3,Suppressor of cytokine signaling 3
ENOG411CZRP,focad.L,NA,FOCAD,focadhesin
ENOG411CZRQ,"lrig1.L, lrig1.S",NA,LRIG1,leucine-rich repeats and immunoglobulin-like domains 1
ENOG411CZRR,vat1.L,"LOC100036826 protein [Xenopus laevis], vesicle amine transport protein 1 homolog [Xenopus laevis], NA",VAT1,vesicle amine transport protein 1 homolog (T. californica)
ENOG411CZRS,NA,"RecName: Full=Galactocerebrosidase; Short=GALCERase; AltName: Full=Galactosylceramidase; Flags: Precursor, LOC446948 protein [Xenopus laevis]",GALC,galactosylceramidase
ENOG411CZRT,cwf19l2.L,"CWF19-like 2, cell cycle control [Xenopus laevis], NA",CWF19L2,"CWF19-like 2, cell cycle control (S. pombe)"
ENOG411CZRU,hsd17b14.L,"Unknown (protein for MGC:160927) [Xenopus laevis], NA",HSD17B14,Hydroxysteroid (17-beta) dehydrogenase 14
ENOG411CZRV,wdr1.S,"AIP1 protein [Xenopus laevis], WD repeat-containing protein 1-B [Xenopus laevis], WD repeat-containing protein 1-A [Xenopus laevis], NA",WDR1,WD repeat domain 1
ENOG411CZRX,"dcp1b.S, dcp1b.L","DCP1 decapping enzyme homolog B [Xenopus laevis], NA",DCP1B,DCP1 decapping enzyme homolog b (S. cerevisiae)
ENOG411CZS2,lrp2.L,"low density lipoprotein-related protein 2 [Xenopus laevis], NA",LRP2,low density lipoprotein receptor-related protein 2
ENOG411CZS5,NA,"tubulin, delta 1 [Xenopus laevis], delta-tubulin [Xenopus laevis]",TUBD1,"tubulin, delta 1"
ENOG411CZS8,"eya2.S, eya2.L",NA,EYA2,eyes absent homolog 2 (Drosophila)
ENOG411CZS9,"tssc1.S, tssc1.L","protein TSSC1 [Xenopus laevis], hypothetical protein LOC734932 [Xenopus laevis], NA",EIPR1,tumor suppressing subtransferable candidate 1
ENOG411CZSA,"faah.3.L, faah.3.S, faah.1.S, faah.S","LOC100036968 protein [Xenopus laevis], NA",FAAH,Fatty acid amide hydrolase
ENOG411CZSD,march10.L,NA,MARCH10,"membrane-associated ring finger (C3HC4) 10, E3 ubiquitin protein ligase"
ENOG411CZSE,"cyld.S, cyld.L",NA,CYLD,cylindromatosis (turban tumor syndrome)
ENOG411CZSF,scfd2.L,NA,SCFD2,sec1 family domain containing 2
ENOG411CZSG,"tsg101.L, tsg101.S","uncharacterized protein LOC414576 [Xenopus laevis], tumor susceptibility gene 101 [Xenopus laevis], NA",TSG101,Tumor susceptibility gene 101
ENOG411CZSI,tnfsf10l.L,"TNF-related apoptosis-inducing ligand 2 [Xenopus laevis], NA",NA,Tumor necrosis factor (Ligand) superfamily member
ENOG411CZSJ,"yrdc.L, yrdc.S","yrdC domain containing [Xenopus laevis], LOC398509 protein [Xenopus laevis], LOC496333 protein [Xenopus laevis], NA",YRDC,yrdC domain containing (E. coli)
ENOG411CZSM,NA,RecName: Full=Intraflagellar transport protein 43 homolog,IFT43,intraflagellar transport 43 homolog (Chlamydomonas)
ENOG411CZSW,"foxb1.L, foxb2.S, foxb2.L","Fkh-5 protein [Xenopus laevis], FoxB2 protein [Xenopus laevis], NA","FOXB2, FOXB1",forkhead box
ENOG411CZSY,"trps1.L, trps1.S","atypical GATA protein TRPS1 [Xenopus laevis], Unknown (protein for MGC:197188) [Xenopus laevis], NA",TRPS1,Trichorhinophalangeal syndrome I
ENOG411CZSZ,n4bp2l2.S,NA,N4BP2L2,NEDD4 binding protein 2-like 2
ENOG411CZT0,micalcl.L,NA,MICALCL,MICAL C-terminal like
ENOG411CZT3,sap130.S,"histone deacetylase complex subunit SAP130-A [Xenopus laevis], hypothetical protein LOC496245 [Xenopus laevis], NA",SAP130,"Sin3A-associated protein, 130kDa"
ENOG411CZT4,myo19.S,"myosin-XIX [Xenopus laevis], NA",MYO19,Myosin XIX
ENOG411CZT5,"sulf1.L, sulf2.L, sulf2.S, sulf1.S","LOC495271 protein [Xenopus laevis], LOC432214 protein [Xenopus laevis], NA","SULF2, SULF1",Sulfatase
ENOG411CZT6,NA,PRKR-interacting protein 1 homolog [Xenopus laevis],PRKRIP1,PRKR interacting protein 1 (IL11 inducible)
ENOG411CZT7,tmem44.L,NA,TMEM44,Transmembrane protein 44
ENOG411CZT9,"Xetrov90028858m.S, Xetrov90028858m.L",NA,MLIP,muscular LMNA-interacting protein
ENOG411CZTA,"Xelaev18034285m.g, Xelaev18036665m.g, Xelaev18036664m.g","RAB11 family interacting protein 2 (class I) [Xenopus laevis], NA",RAB11FIP2,RAB11 family interacting protein 2 (class I)
ENOG411CZTB,NA,nudix (nucleoside diphosphate linked moiety X)-type motif 13 [Xenopus laevis],NUDT13,nudix (nucleoside diphosphate linked moiety X)-type motif 13
ENOG411CZTC,"slc26a2.2.S, slc26a2.2.L",NA,NA,STAS domain
ENOG411CZTD,chmp3.L,"charged multivesicular body protein 3 [Xenopus laevis], NA",CHMP3,"core component of the endosomal sorting required for transport complex III (ESCRT-III) which is involved in multivesicular bodies (MVBs) formation and sorting of endosomal cargo proteins into MVBs. MVBs contain intraluminal vesicles (ILVs) that are generated by invagination and scission from the limiting membrane of the endosome and mostly are delivered to lysosomes enabling degradation of membrane proteins, such as stimulated growth factor receptors, lysosomal enzymes and lipids"
ENOG411CZTF,"nuak1.S, nuak2.L, nuak1.L","NUAK family, SNF1-like kinase, 2 [Xenopus laevis], NA","NUAK1, NUAK2",NUAK family SNF1-like kinase
ENOG411CZTH,"cdh22.S, cdh22.L",NA,CDH22,Cadherins are calcium dependent cell adhesion proteins (By similarity)
ENOG411CZTI,agr3.L,NA,AGR3,anterior gradient 3 homolog (Xenopus laevis)
ENOG411CZTJ,"trappc6b-like.L, trappc6b-like.S","trafficking protein particle complex 6B [Xenopus laevis], NA",TRAPPC6B,trafficking protein particle complex
ENOG411CZTM,None,NA,LYPD3,Ly6 Plaur domain containing 3
ENOG411CZTP,"klhl34.S, klhl34.L",NA,KLHL34,kelch-like 34 (Drosophila)
ENOG411CZTQ,"st5.S, st5.L",NA,ST5,Suppression of tumorigenicity 5
ENOG411CZTT,"anp32c.L, anp32c.S","acidic leucine-rich nuclear phosphoprotein 32 family member B [Xenopus laevis], acidic (leucine-rich) nuclear phosphoprotein 32 family, member C [Xenopus laevis], NA",NA,Acidic leucine-rich nuclear phosphoprotein 32 family member
ENOG411CZTV,c10orf107.L,NA,CABCOCO1,Chromosome 10 open reading frame 107
ENOG411CZTY,NA,XFG 5.1b [Xenopus laevis],ZNF684,Zinc finger protein 684
ENOG411CZTZ,alyref.S,"THO complex subunit 4-A [Xenopus laevis], THO complex subunit 4-B [Xenopus laevis], NA",ALYREF,Aly REF export factor
ENOG411CZU0,"rrp1b.L, rrp1b.S","hypothetical protein LOC379182 [Xenopus laevis], ribosomal RNA processing 1 homolog B [Xenopus laevis], MGC53677 protein [Xenopus laevis], NA","RRP1, RRP1B",Ribosomal RNA processing 1 homolog
ENOG411CZU1,"snx25-like.S, snx25.L",NA,SNX25,sorting nexin 25
ENOG411CZU2,gata1.S,"RecName: Full=GATA-binding factor 1-A; AltName: Full=Transcription factor xGATA-1A, RecName: Full=GATA-binding factor 1-B; AltName: Full=Transcription factor xGATA-1B, GATA binding factor-1 [Xenopus laevis], GATA binding factor-1b [Xenopus laevis], NA",GATA1,GATA binding protein 1 (globin transcription factor 1)
ENOG411CZU3,pdcd6.S,"programmed cell death 6 [Xenopus laevis], Pdcd6 protein [Xenopus laevis], NA",PDCD6,Programmed cell death 6
ENOG411CZU4,"loc100158433.L, loc100158433.S","LOC100158433 protein [Xenopus laevis], NA",NA,NA
ENOG411CZU5,edrf1.S,"hypothetical protein LOC432052 [Xenopus laevis], NA",EDRF1,Chromosome 10 open reading frame 137
ENOG411CZU6,ndufaf4.L,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 4 [Xenopus laevis], NA",NDUFAF4,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 4"
ENOG411CZU7,trim29.L,"tripartite motif containing 29 [Xenopus laevis], MGC80203 protein [Xenopus laevis], NA",TRIM29,tripartite motif containing 29
ENOG411CZU8,"vps51.L, vps51.S","protein fat-free homolog [Xenopus laevis], NA",VPS51,vacuolar protein sorting 51 homolog (S. cerevisiae)
ENOG411CZUA,fahd2a.L,"fumarylacetoacetate hydrolase domain-containing protein 2 [Xenopus laevis], NA","FAHD2A, FAHD2B",Fumarylacetoacetate hydrolase domain containing
ENOG411CZUB,NA,"RAB33A, member RAS oncogene family [Xenopus laevis]",RAB33A,"RAB33A, member RAS oncogene family"
ENOG411CZUC,ccdc53.L,"WASH complex subunit CCDC53 [Xenopus laevis], NA",WASHC3,coiled-coil domain containing 53
ENOG411CZUF,ccdc177.L,NA,CCDC177,coiled-coil domain containing 177
ENOG411CZUG,"c19orf43.S, c19orf43.L","uncharacterized protein LOC734591 [Xenopus laevis], NA",TRIR,chromosome 19 open reading frame 43
ENOG411CZUH,als2cl.L,NA,ALS2CL,ALS2 C-terminal like
ENOG411CZUI,"Xetrov90016486m.L, Xetrov90016485m.L","Unknown (protein for MGC:179885) [Xenopus laevis], T-cell receptor gamma [Xenopus laevis], NA",NA,Immunoglobulin C1-set domain
ENOG411CZUM,NA,RecName: Full=Uncharacterized protein C7orf46 homolog,FAM221A,"family with sequence similarity 221, member A"
ENOG411CZUN,NA,LOC100037198 protein [Xenopus laevis],TNNI1,"Troponin I type 1 (Skeletal, slow)"
ENOG411CZUQ,n4bp2l1.L,NA,N4BP2L1,NEDD4 binding protein 2-like 1
ENOG411CZUT,"lasp1.S, nebl-like.1.L","LIM and SH3 protein 1 [Xenopus laevis], NA",LASP1,LIM and SH3 protein 1
ENOG411CZUU,ccdc73.L,NA,CCDC73,coiled-coil domain containing 73
ENOG411CZUW,bysl.S,"bystin-like [Xenopus laevis], NA",BYSL,Bystin-like
ENOG411CZUY,"Xelaev18016696m.g, Xelaev18016700m.g","LOC100037185 protein [Xenopus laevis], NA",TTC38,tetratricopeptide repeat domain 38
ENOG411CZV0,None,NA,NA,Vinculin family
ENOG411CZV1,ergic1.L,"endoplasmic reticulum-Golgi intermediate compartment protein 1 [Xenopus laevis], NA",ERGIC1,Endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1
ENOG411CZV2,"mknk2.S, mknk1.L","LOC100036803 protein [Xenopus laevis], MAP kinase-interacting serine/threonine-protein kinase 2 [Xenopus laevis], MAP kinase-interacting serine/threonine-protein kinase 1 [Xenopus laevis], Map kinase-interacting kinase [Xenopus laevis], Mnk1 protein [Xenopus laevis], NA","MKNK2, MKNK1",MAP kinase interacting serine threonine kinase
ENOG411CZV4,"cgref1.S, cgref1.L","LOC446290 protein [Xenopus laevis], NA",CGREF1,cell growth regulator with EF-hand domain 1
ENOG411CZV5,"rhov.L, rhov.S","ras homolog gene family, member V [Xenopus laevis], uncharacterized protein LOC503674 [Xenopus laevis], NA",RHOV,ras homolog family member V
ENOG411CZV6,NA,dihydrofolate reductase [Xenopus laevis],"DHFR, DHFR2",dihydrofolate reductase
ENOG411CZV9,glmn.L,"glomulin, FKBP associated protein [Xenopus laevis], NA",GLMN,"Glomulin, FKBP associated protein"
ENOG411CZVB,"fbxo32.L, fbxo32.S",NA,FBXO32,F-box protein 32
ENOG411CZVC,dctn3.S,"uncharacterized protein LOC414605 [Xenopus laevis], uncharacterized protein LOC414603 [Xenopus laevis], MGC82249 protein [Xenopus laevis], NA",DCTN3,dynactin 3 (p22)
ENOG411CZVE,"loc101733715.L, loc101733715.S",NA,NRTN,neurturin
ENOG411CZVF,NA,LOC100037212 protein [Xenopus laevis],ACTR6,ARP6 actin-related protein 6 homolog (yeast)
ENOG411CZVH,pifo.S,NA,PIFO,primary cilia formation
ENOG411CZVI,tnfsf10.L,"TNF-related apoptosis-inducing ligand 1 [Xenopus laevis], NA",TNFSF10,"tumor necrosis factor (ligand) superfamily, member 10"
ENOG411CZVM,"panx1.S, panx1.L",NA,PANX1,pannexin 1
ENOG411CZVN,NA,stathmin-like 3 [Xenopus laevis],STMN3,stathmin-like 3
ENOG411CZVR,"ccnk.S, ccnk.L","cyclin K [Xenopus laevis], NA",CCNK,Cyclin K
ENOG411CZVS,NA,U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein [Xenopus laevis],SNRNP27,Small nuclear ribonucleoprotein 27kDa (U4 U6.U5)
ENOG411CZVT,"cped1.S, Xelaev18021057m.g, cped1.L",NA,CPED1,cadherin-like and PC-esterase domain containing 1
ENOG411CZVU,myf5.S,"RecName: Full=Myogenic factor 5; Short=Myf-5, Myogenic factor Xmyf-5 [Xenopus laevis], NA",MYF5,myogenic factor 5
ENOG411CZVV,"sync.L, sync.S",NA,SYNC,"Syncoilin, intermediate filament protein"
ENOG411CZVW,kifc1.L,"carboxy-terminal kinesin 2 [Xenopus laevis], Ctk2-A protein [Xenopus laevis], NA",KIFC1,kinesin family member C1
ENOG411CZVX,c8orf37.L,NA,C8orf37,Chromosome 8 open reading frame 37
ENOG411CZVY,"cysltr1.L, cysltr1.S",NA,CYSLTR1,Cysteinyl leukotriene receptor 1
ENOG411CZVZ,bend2-like.S,NA,BEND2,BEN domain containing 2
ENOG411CZW0,"popdc2.S, popdc3.S, popdc3.L, popdc2.L","popeye domain containing 2 [Xenopus laevis], NA",POPDC2,Popeye domain containing 2
ENOG411CZW2,NA,"ATPase, H+ transporting, lysosomal accessory protein 2 precursor [Xenopus laevis], uncharacterized protein LOC734500 precursor [Xenopus laevis]",ATP6AP2,"ATPase, H transporting, lysosomal accessory protein 2"
ENOG411CZW4,"Xelaev18042362m.g, Xelaev18039061m.g","echinoderm microtubule associated protein like 1 [Xenopus laevis], echinoderm microtubule associated protein like 2 [Xenopus laevis], NA",EML2,Echinoderm microtubule associated protein like
ENOG411CZW6,pigl.L,NA,PIGL,"Phosphatidylinositol glycan anchor biosynthesis, class L"
ENOG411CZW8,vdac1.L,"voltage-dependent anion channel 1 [Xenopus laevis], NA",VDAC1,Voltage-dependent anion channel 1
ENOG411CZW9,c1qtnf2.L,NA,C1QTNF2,C1q and tumor necrosis factor related protein 2
ENOG411CZWC,"Xelaev18022116m.g, Xelaev18022144m.g","SAC3 domain containing 1 [Xenopus laevis], MGC80708 protein [Xenopus laevis], NA",SAC3D1,SAC3 domain containing 1
