accession,eggnogID,number_of_unique_peptides,number_of_peptides,total_PSMs,ctrl_abundance,exp_abundance,mean_abundance,abundance_fc,abundance_log2fc,ctrl_PSMs,exp_PSMs,PSM_fc,PSM_log2fc,PSM_zscore,XL_ID,XL_ID_source,XENLA_XenBase_GeneNames,XENLA_GenBank_Description,HUMAN_UniProtID,HUMAN_GeneNames_Primary,HUMAN_GeneNames_Synonyms,eggNOG_annotation,bait
ENOG411DFYR,ENOG411DFYR,1,1,1,6009709.75,30438184,18223946.875,5.064834287546083,2.340515067358802,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,Xelaev18041347m.g,Xenbase_9.1,loc100492667.S,NA,NA,NA,NA,GDSL-like Lipase/Acylhydrolase,dnai2
ENOG411CV80,ENOG411CV80,1,1,1,1417168.875,2730954.375,2074061.625,1.927049361001525,0.9463935264650059,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"13487713, 148227040, 148236996, 6689545, Xelaev18033529m.g, Xelaev18031750m.g","GenBank, Xenbase_9.1","ctdp1.S, ctdp1.L","CTD phosphatase [Xenopus laevis], FCP1 serine phosphatase [Xenopus laevis], CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1 [Xenopus laevis], NA",Q9Y5B0,CTDP1,FCP1,"CTD (Carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1",dnai2
ENOG411CQNX,ENOG411CQNX,1,1,1,88129.328125,274253.21875,181191.2734375,3.11194042420257,1.6378144412591222,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"Xelaev18016323m.g, Xelaev18007746m.g, Xelaev18014073m.g",Xenbase_9.1,"piwil4.S, piwil1.L, piwil3.L",NA,"Q96J94, Q7Z3Z4","PIWIL1, PIWIL4","HIWI, HIWI2 PIWI",piwi-like,dnai2
ENOG411CQ96,ENOG411CQ96,1,1,1,28517.3681640625,28517.3681640625,28517.3681640625,NA,0,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"Xelaev18017614m.g, Xelaev18021107m.g",Xenbase_9.1,"pnpla8.L, pnpla8.S",NA,Q9NP80,PNPLA8,IPLA22 IPLA2G,patatin-like phospholipase domain containing 8,dnai2
ENOG411CSIE,ENOG411CSIE,1,1,1,1422911.375,720328.5625,1071619.96875,-1.9753643671459995,-0.9821187911075372,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"147900273, 148225248, 47937571, 6006270",GenBank,NA,"SET nuclear oncogene [Xenopus laevis], MGC64240 protein [Xenopus laevis], TAF-Ibeta2 [Xenopus laevis]",NA,NA,NA,Nucleosome assembly protein (NAP),dnai2
ENOG411CZW8,ENOG411CZW8,1,1,1,28517.3681640625,144506.1328125,86511.75048828125,5.067302563867243,2.3412179733954543,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"147903881, Xelaev18016892m.g","GenBank, Xenbase_9.1",vdac1.L,"voltage-dependent anion channel 1 [Xenopus laevis], NA",P21796,VDAC1,VDAC,Voltage-dependent anion channel 1,dnai2
ENOG411CVPU,ENOG411CVPU,1,1,1,178717.078125,361734.15625,270225.6171875,2.024060375455514,1.0172523246523568,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"148234538, Xelaev18032482m.g","GenBank, Xenbase_9.1",gpaa1.L,"glycosylphosphatidylinositol anchor attachment protein 1 homolog [Xenopus laevis], NA",O43292,GPAA1,GAA1,glycosylphosphatidylinositol anchor attachment protein 1 homolog (yeast),dnai2
ENOG411CY0K,ENOG411CY0K,1,1,1,28517.3681640625,28517.3681640625,28517.3681640625,NA,0,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"Xelaev18014499m.g, Xelaev18011189m.g",Xenbase_9.1,"loc100497622-like.S, loc100497622-like.L",NA,P56181,NDUFV3,NA,"NADH dehydrogenase (Ubiquinone) flavoprotein 3, 10kDa",dnai2
ENOG411CVJE,ENOG411CVJE,1,1,1,28517.3681640625,28517.3681640625,28517.3681640625,NA,0,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"114108129, 120577413, 171847160, Xelaev18009508m.g, Xelaev18005837m.g, Xelaev18021525m.g, Xelaev18017113m.g","GenBank, Xenbase_9.1","ankrd17.S, ankrd17.L, ankhd1.S, ankhd1.L","LOC779081 protein [Xenopus laevis], NA","Q8IWZ3, O75179","ANKHD1, ANKRD17","KIAA1085 MASK VBARP, GTAR KIAA0697",ankyrin repeat,dnai2
ENOG411CV1E,ENOG411CV1E,1,1,1,28517.3681640625,28517.3681640625,28517.3681640625,NA,0,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"189442677, 50415052, Xelaev18013967m.g, Xelaev18002023m.g, Xelaev18016499m.g, Xelaev18000698m.g","GenBank, Xenbase_9.1","Xelaev18013967m.g, Xelaev18002023m.g, Xelaev18016499m.g, Xelaev18000698m.g","LOC100174804 protein [Xenopus laevis], Nup98 protein [Xenopus laevis], NA",P52948,NUP98,ADAR2,nucleoporin 98kDa,dnai2
ENOG411CRNI,ENOG411CRNI,1,1,1,28517.3681640625,482670.375,255593.87158203125,16.925488082320996,4.081125532456678,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"115527879, 68534856, Xelaev18031057m.g","GenBank, Xenbase_9.1",ngly1.L,"LOC733299 protein [Xenopus laevis], NA",Q96IV0,NGLY1,PNG1,N-glycanase 1,dnai2
ENOG411CTB2,ENOG411CTB2,1,1,1,28517.3681640625,28517.3681640625,28517.3681640625,NA,0,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"148228943, 148921509, Xelaev18013591m.g, Xelaev18016054m.g, Xelaev18044713m.g, Xelaev18033036m.g, Xelaev18047184m.g","GenBank, Xenbase_9.1","sp7.L, sp7.S, sp9.L, sp8.S, sp9.S","transcription factor Sp8 [Xenopus laevis], LOC100101324 protein [Xenopus laevis], NA","P0CG40, Q8IXZ3, Q8TDD2, F8VV67","SP9, SP8, SP7","NA, OSX",transcription factor,dnai2
ENOG411CY88,ENOG411CY88,1,1,1,1939760.25,1428559.625,1684159.9375,-1.3578433941810444,-0.44131709705917815,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,Xelaev18008161m.g,Xenbase_9.1,gfm2.L,NA,Q969S9,GFM2,EFG2,"G elongation factor, mitochondrial 2",dnai2
ENOG411CPRY,ENOG411CPRY,1,1,1,131384.08984375,335935.40625,233659.748046875,2.55689563819725,1.3543932769941474,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"147900331, 148234875, 54647654, Xelaev18027209m.g","GenBank, Xenbase_9.1",sec63.L,"SEC63 homolog [Xenopus laevis], MGC80164 protein [Xenopus laevis], LOC495416 protein [Xenopus laevis], NA",Q9UGP8,SEC63,SEC63L,SEC63 homolog (S. cerevisiae),dnai2
ENOG411DDGI,ENOG411DDGI,1,1,1,467491.296875,1988439.5,1227965.3984375,4.25342570715638,2.088625255355812,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"148222673, Xelaev18040069m.g","GenBank, Xenbase_9.1",rmdn3.L,"regulator of microtubule dynamics protein 3 [Xenopus laevis], NA",NA,NA,NA,"family with sequence similarity 82, member A2",dnai2
ENOG411CR66,ENOG411CR66,1,1,1,28517.3681640625,365465.3125,196991.34033203125,12.81553439284619,3.679821733472738,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"112419319, 120577668, 28422594, 50414537, 77748280, Xelaev18047360m.g","GenBank, Xenbase_9.1",nop58.S,"MGC78950 protein [Xenopus laevis], LOC398558 protein [Xenopus laevis], NA",Q9Y2X3,NOP58,NOL5 NOP5,NOP58 ribonucleoprotein homolog (yeast),dnai2
ENOG411CWYQ,ENOG411CWYQ,1,1,1,2035049.1875,1890126.5,1962587.84375,-1.0766735387816635,-0.10658087255834063,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"Xelaev18000222m.g, Xelaev18037050m.g",Xenbase_9.1,"Xelaev18000222m.g, cox15.S",NA,Q7KZN9,COX15,NA,cytochrome c oxidase assembly homolog 15 (yeast),dnai2
ENOG411CPBH,ENOG411CPBH,1,1,1,9328099,2615556,5971827.5,-3.5663923846402064,-1.8344654411098267,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,Xelaev18013912m.g,Xenbase_9.1,clpb.L,NA,Q9H078,CLPB,HSP78 SKD3,ClpB caseinolytic peptidase B homolog (E. coli),dnai2
ENOG411CTXZ,ENOG411CTXZ,1,1,1,3409965.75,3723311.75,3566638.75,1.0918912455352374,0.1268291682170372,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"Xelaev18029900m.g, Xelaev18027855m.g",Xenbase_9.1,"kcnj13.S, kcnj13.L",NA,O60928,KCNJ13,NA,"potassium inwardly-rectifying channel, subfamily J, member 13",dnai2
Xelaev18029490m.g,Xelaev18029490m.g,1,1,1,1996812.3125,1602018.625,1799415.46875,-1.246435142100798,-0.31780781455508744,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,NA,Xenbase_9.1,dst.S,NA,NA,NA,NA,NA,dnai2
ENOG411CT4N,ENOG411CT4N,1,1,1,1175018.9375,896238.9375,1035628.9375,-1.311055443292431,-0.39072869705601665,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"147900612, Xelaev18046697m.g","GenBank, Xenbase_9.1",mrps7.S,"28S ribosomal protein S7, mitochondrial precursor [Xenopus laevis], NA",Q9Y2R9,MRPS7,NA,Mitochondrial ribosomal protein S7,dnai2
ENOG411CWX8,ENOG411CWX8,1,1,1,28517.3681640625,28517.3681640625,28517.3681640625,NA,0,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"148235429, Xelaev18024042m.g, Xelaev18025939m.g, Xelaev18017736m.g, Xelaev18021004m.g","GenBank, Xenbase_9.1","lamb2.L, lamb2.S, lamb1.L, lamb1.S","laminin, beta 2 (laminin S) precursor [Xenopus laevis], NA","P07942, P55268","LAMB1, LAMB2","NA, LAMS",laminin beta,dnai2
ENOG411CR35,ENOG411CR35,1,1,1,28517.3681640625,28517.3681640625,28517.3681640625,NA,0,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"148229126, Xelaev18013324m.g","GenBank, Xenbase_9.1",rhebl1.L,"Ras homolog enriched in brain like 1 [Xenopus laevis], NA",Q8TAI7,RHEBL1,NA,Ras homolog enriched in brain like 1,dnai2
ENOG411D0EM,ENOG411D0EM,1,1,1,28517.3681640625,28517.3681640625,28517.3681640625,NA,0,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,Xelaev18018322m.g,Xenbase_9.1,vps33b.L,NA,Q9H267,VPS33B,NA,vacuolar protein sorting 33 homolog B (yeast),dnai2
ENOG411CTTR,ENOG411CTTR,1,1,1,28517.3681640625,28517.3681640625,28517.3681640625,NA,0,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"116487686, 168693453",GenBank,NA,"LOC100049719 protein [Xenopus laevis], glutamate-cysteine ligase, catalytic subunit [Xenopus laevis]",P48506,GCLC,GLCL GLCLC,glutamate--cysteine ligase catalytic subunit,dnai2
ENOG411CTY3,ENOG411CTY3,1,1,1,292568.1171875,425711.890625,359140.00390625,1.4550864076285226,0.5411048274674033,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"147903337, 148226530, 54311494, Xelaev18041117m.g, Xelaev18039823m.g","GenBank, Xenbase_9.1","actr10.S, actr10.L","MGC82862 protein [Xenopus laevis], actin-related protein 10 homolog [Xenopus laevis], LOC495357 protein [Xenopus laevis], NA",Q9NZ32,ACTR10,ACTR11 ARP11,Actin-related protein 10 homolog (S. cerevisiae),dnai2
ENOG411CTIE,ENOG411CTIE,1,1,1,2511571.875,2169856.25,2340714.0625,-1.1574830705951142,-0.2109910927104913,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"Xelaev18016840m.g, Xelaev18019906m.g",Xenbase_9.1,"loc101734703.L, loc101734703.S",NA,Q9NYQ8,FAT2,CDHF8 KIAA0811 MEGF1,FAT tumor suppressor homolog 2 (Drosophila),dnai2
ENOG411CS6N,ENOG411CS6N,1,1,1,205750.2734375,310632.296875,258191.28515625,1.5097539929605956,0.5943134885901667,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"281494441, Xelaev18018353m.g","GenBank, Xenbase_9.1",fanci.L,"Fanconi anemia complementation group I transcript variant 1 [Xenopus laevis], NA",Q9NVI1,FANCI,KIAA1794,"Fanconi anemia, complementation group I",dnai2
ENOG411CWVU,ENOG411CWVU,1,1,1,794554.09375,1807831.9375,1301193.015625,2.2752786144083723,1.1860432182845047,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"49119594, Xelaev18005767m.g, Xelaev18009456m.g","GenBank, Xenbase_9.1","smarcad1.L, smarcad1.S","LOC443627 protein [Xenopus laevis], NA",Q9H4L7,SMARCAD1,KIAA1122,SWI SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD H box 1,dnai2
ENOG411CSIX,ENOG411CSIX,1,1,1,173350.46484375,147925.4140625,160637.939453125,-1.171877502877955,-0.22882177178506052,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"147898847, Xelaev18034101m.g, Xelaev18032509m.g, Xelaev18025033m.g, Xelaev18022773m.g","GenBank, Xenbase_9.1","gpt2.S, gpt2.L, loc100494152.S, loc100494152.L","alanine aminotransferase 2 [Xenopus laevis], NA","P24298, Q8TD30","GPT, GPT2","AAT1 GPT1, AAT2 ALT2",transaminase (Alanine aminotransferase),dnai2
ENOG411DFII,ENOG411DFII,1,1,1,28517.3681640625,28517.3681640625,28517.3681640625,NA,0,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"147899674, Xelaev18015457m.g, Xelaev18012880m.g","GenBank, Xenbase_9.1","egfl6.S, egfl6.L","epidermal growth factor-like protein 6 precursor [Xenopus laevis], NA",NA,NA,NA,"EGF-like-domain, multiple 6",dnai2
ENOG411CTQH,ENOG411CTQH,1,1,1,288354.296875,561158.625,424756.4609375,1.946073393327165,0.9605661202898755,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"148236045, Xelaev18013852m.g","GenBank, Xenbase_9.1",fam76b.L,"family with sequence similarity 76, member B [Xenopus laevis], NA","Q5HYJ3, Q8TAV0","FAM76B, FAM76A",NA,"Family with sequence similarity 76, member",dnai2
ENOG411CZT5,ENOG411CZT5,1,1,1,28517.3681640625,28517.3681640625,28517.3681640625,NA,0,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"119850718, 47939687, 54261618, Xelaev18032097m.g, Xelaev18043428m.g, Xelaev18046154m.g, Xelaev18033783m.g","GenBank, Xenbase_9.1","sulf1.L, sulf2.L, sulf2.S, sulf1.S","LOC495271 protein [Xenopus laevis], LOC432214 protein [Xenopus laevis], NA","Q8IWU5, Q8IWU6","SULF2, SULF1","KIAA1247, KIAA1077",Sulfatase,dnai2
ENOG411CSQG,ENOG411CSQG,1,1,1,454092.15625,608391.71875,531241.9375,1.339797903082586,0.4220153990342446,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"148226330, Xelaev18020868m.g, Xelaev18017920m.g","GenBank, Xenbase_9.1","tnpo3.S, tnpo3.L","transportin 3 [Xenopus laevis], NA",Q9Y5L0,TNPO3,IPO12,transportin 3,dnai2
ENOG411DFQ2,ENOG411DFQ2,1,1,1,28517.3681640625,28517.3681640625,28517.3681640625,NA,0,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"Xelaev18025572m.g, Xelaev18023557m.g",Xenbase_9.1,"ep300.S, ep300.L",NA,NA,NA,NA,Creb binding,dnai2
ENOG411CUAY,ENOG411CUAY,1,1,1,244723.9453125,746533.3671875,495628.65625,3.050512144343762,1.6090514741764925,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"147906715, 148224882, 67678144, Xelaev18023303m.g, Xelaev18025369m.g, Xelaev18006266m.g, Xelaev18006511m.g, Xelaev18001245m.g","GenBank, Xenbase_9.1","ptbp2.L, ptbp2.S, ptbp1.L, ptbp3.L, ptbp3.S","hnRNP I-related RNA transport protein VgRBP60 [Xenopus laevis], polypyrimidine tract binding protein 1 [Xenopus laevis], VgRBP60 protein [Xenopus laevis], NA","O95758, P26599, Q9UKA9","PTBP3, PTBP1, PTBP2","ROD1, PTB, NPTB PTB PTBLP",polypyrimidine tract binding protein,dnai2
ENOG411CP99,ENOG411CP99,1,1,1,2728858.375,10882776,6805817.1875,3.988032541263707,1.9956771817843126,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"Xelaev18017127m.g, Xelaev18018674m.g",Xenbase_9.1,"dock2.L, dock5.L",NA,"Q92608, Q9H7D0","DOCK2, DOCK5","KIAA0209, NA",dedicator of cyto-kinesis,dnai2
ENOG411CWWC,ENOG411CWWC,1,1,1,28517.3681640625,28517.3681640625,28517.3681640625,NA,0,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"147902382, Xelaev18000695m.g, Xelaev18034701m.g, Xelaev18037071m.g","GenBank, Xenbase_9.1","Xelaev18000695m.g, Xelaev18034701m.g, Xelaev18037071m.g","zinc finger, FYVE domain containing 27 [Xenopus laevis], NA",Q5T4F4,ZFYVE27,SPG33,"zinc finger, FYVE domain containing 27",dnai2
ENOG411CXBJ,ENOG411CXBJ,1,1,1,28517.3681640625,28517.3681640625,28517.3681640625,NA,0,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,148237404,GenBank,NA,"family with sequence similarity 98, member A [Xenopus laevis]",Q17RN3,FAM98C,NA,"Family with sequence similarity 98, member C",dnai2
ENOG411CTQZ,ENOG411CTQZ,1,1,1,275069.90625,334669.890625,304869.8984375,1.216672136867026,0.2829404496932987,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"111185526, 148235090, 33469621, 49256219, 68533781, Xelaev18043402m.g, Xelaev18046129m.g","GenBank, Xenbase_9.1","stau1.L, stau1.S","LOC398937 protein [Xenopus laevis], staufen, RNA binding protein, homolog 1 [Xenopus laevis], staufen [Xenopus laevis], Stau1 protein [Xenopus laevis], NA",O95793,STAU1,STAU,staufen (RNA binding protein) homolog 1 (Drosophila),dnai2
ENOG411CQNM,ENOG411CQNM,1,1,1,105737.73828125,488412.8125,297075.275390625,4.619096459211933,2.207610673871224,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"148224776, Xelaev18026677m.g","GenBank, Xenbase_9.1",rdh13.L,"retinol dehydrogenase 13 (all-trans/9-cis) [Xenopus laevis], NA","H0YJ10, Q8TC12, Q96NR8, Q8NBN7, H0YIZ8","NA, RDH11, RDH12, RDH13","NA, ARSDR1 PSDR1 SDR7C1, SDR7C2, SDR7C3",retinol dehydrogenase,dnai2
ENOG411CSYV,ENOG411CSYV,1,1,1,28517.3681640625,175825.8203125,102171.59423828125,6.165569673223743,2.6242341998617227,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"147898975, 148222347, 49118667, Xelaev18029701m.g, Xelaev18027573m.g","GenBank, Xenbase_9.1","ect2.S, ect2.L","epithelial cell transforming 2 [Xenopus laevis], epithelial cell transforming sequence 2 oncogene [Xenopus laevis], ECT2 protein [Xenopus laevis], NA",Q9H8V3,ECT2,NA,Epithelial cell transforming sequence 2 oncogene,dnai2
ENOG411CUF0,ENOG411CUF0,1,1,1,28517.3681640625,28517.3681640625,28517.3681640625,NA,0,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"118763692, 157073885, 49115339, 49118262, Xelaev18028173m.g","GenBank, Xenbase_9.1",cdc5l.L,"LOC443636 protein [Xenopus laevis], cell division cycle 5-like [Xenopus laevis], Cdc5l protein [Xenopus laevis], NA",Q99459,CDC5L,KIAA0432 PCDC5RP,CDC5 cell division cycle 5-like (S. pombe),dnai2
ENOG411CS8D,ENOG411CS8D,1,1,1,4025654.5,4598141.5,4311898,1.1422096705020264,0.19182750431577192,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,Xelaev18035562m.g,Xenbase_9.1,ttll10.L,NA,Q6ZVT0,TTLL10,NA,"Tubulin tyrosine ligase-like family, member 10",dnai2
ENOG411CZ9T,ENOG411CZ9T,1,1,1,707574.0625,970530.53125,839052.296875,1.3716310174244126,0.4558924341881787,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"Xelaev18011284m.g, Xelaev18014432m.g",Xenbase_9.1,"fam162a.L, fam162a.S",NA,Q96A26,FAM162A,C3orf28 E2IG5,"Family with sequence similarity 162, member",dnai2
ENOG411CSPX,ENOG411CSPX,1,1,1,518528.15625,684963.3125,601745.734375,1.3209761210532143,0.4016043875919474,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"148231575, Xelaev18007003m.g","GenBank, Xenbase_9.1",sptlc1.L,"serine palmitoyltransferase, long chain base subunit 1 [Xenopus laevis], NA",O15269,SPTLC1,LCB1,"serine palmitoyltransferase, long chain base subunit 1",dnai2
ENOG411DG8X,ENOG411DG8X,1,1,1,2059738.625,2084776.3125,2072257.46875,1.0121557595687656,0.017431321915698805,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"Xelaev18015488m.g, Xelaev18012914m.g",Xenbase_9.1,"sh3rf3.S, sh3rf3.L",NA,NA,NA,NA,SH3 domain containing ring finger 3,dnai2
ENOG411D3JZ,ENOG411D3JZ,1,1,1,954186.875,605433.375,779810.125,-1.57603943621377,-0.656303634869299,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"148222601, Xelaev18031332m.g","GenBank, Xenbase_9.1",ndufs6.L,"NADH dehydrogenase (ubiquinone) Fe-S protein 6, 13kDa (NADH-coenzyme Q reductase) [Xenopus laevis], NA",O75380,NDUFS6,NA,"NADH dehydrogenase (ubiquinone) Fe-S protein 6, 13kDa (NADH-coenzyme Q reductase)",dnai2
ENOG411CU2Z,ENOG411CU2Z,1,1,1,434529.8125,464273.1875,449401.5,1.0684495612139386,0.09551880364200734,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,148224594,GenBank,NA,cysteine and histidine-rich domain-containing protein 1 [Xenopus laevis],Q9UHD1,CHORDC1,CHP1,cysteine and histidine-rich domain (CHORD) containing 1,dnai2
ENOG411CUJ6,ENOG411CUJ6,1,1,1,28517.3681640625,314509.265625,171513.31689453125,11.028691841954181,3.463189772031567,0,1,1.9674267100977199,0.9763098939548995,0.9954389325039961,"147903571, 148235431, Xelaev18033153m.g, Xelaev18031093m.g","GenBank, Xenbase_9.1","cnot10.S, cnot10.L","CCR4-NOT transcription complex subunit 10-A [Xenopus laevis], CCR4-NOT transcription complex subunit 10-B [Xenopus laevis], NA",Q9H9A5,CNOT10,NA,CCR4-NOT transcription complex subunit 10,dnai2
ENOG411CUX6,ENOG411CUX6,2,2,4,275804.53125,270363.9609375,273084.24609375,-1.0201231343616752,-0.02874330377632547,1,3,1.9674267100977199,0.9763098939548995,0.9862276347740007,"147900712, Xelaev18024168m.g, Xelaev18022337m.g","GenBank, Xenbase_9.1","sf3b2.S, sf3b2.L","splicing factor 3b, subunit 2, 145kDa [Xenopus laevis], NA",Q13435,SF3B2,SAP145,"Splicing factor 3b, subunit 2, 145kDa",dnai2
ENOG411CX6V,ENOG411CX6V,2,2,4,280092.703125,1346641,813366.8515625,4.807840350624986,2.265388990644425,1,3,1.9674267100977199,0.9763098939548995,0.9862276347740007,"148232288, Xelaev18031302m.g","GenBank, Xenbase_9.1",lztfl1.L,"leucine zipper transcription factor-like 1 [Xenopus laevis], NA",Q9NQ48,LZTFL1,NA,Leucine zipper transcription factor-like 1,dnai2
ENOG411CZSF,ENOG411CZSF,2,2,4,665119.828125,1437808.53125,1051464.1796875,2.161728564465205,1.1121853837181168,1,3,1.9674267100977199,0.9763098939548995,0.9862276347740007,Xelaev18005278m.g,Xenbase_9.1,scfd2.L,NA,Q8WU76,SCFD2,STXBP1L1,sec1 family domain containing 2,dnai2
ENOG411CZ90,ENOG411CZ90,2,2,4,2823135.3125,2758708.1875,2790921.75,-1.0233540920681377,-0.03330542023586432,1,3,1.9674267100977199,0.9763098939548995,0.9862276347740007,"148229868, 148230699, Xelaev18021806m.g","GenBank, Xenbase_9.1",api5.L,"apoptosis inhibitor 5-A [Xenopus laevis], apoptosis inhibitor 5-B [Xenopus laevis], NA",Q9BZZ5,API5,NA,Apoptosis inhibitor 5,dnai2
ENOG411CV1V,ENOG411CV1V,1,1,4,96245.80859375,272807.8984375,184526.853515625,2.8344912097836077,1.5030897951332571,1,3,1.9674267100977199,0.9763098939548995,0.9862276347740007,Xelaev18019903m.g,Xenbase_9.1,polr3b.S,NA,Q9NW08,POLR3B,NA,polymerase (RNA) III (DNA directed) polypeptide B,dnai2
ENOG411CYY7,ENOG411CYY7,2,2,4,3366601.5,1946412,2656506.75,-1.72964485422408,-0.7904758415337054,1,3,1.9674267100977199,0.9763098939548995,0.9862276347740007,148235465,GenBank,NA,mitochondrial ribosomal protein L18 [Xenopus laevis],Q9H0U6,MRPL18,NA,Mitochondrial ribosomal protein L18,dnai2
ENOG411CYGN,ENOG411CYGN,2,2,4,1366444.453125,3138339.8125,2252392.1328125,2.2967196400283605,1.1995747580537741,1,3,1.9674267100977199,0.9763098939548995,0.9862276347740007,"10998388, 147900383, 47939988",GenBank,NA,"ubiquitin fusion degradation 1-like protein [Xenopus laevis], ubiquitin fusion degradation protein 1 homolog [Xenopus laevis], Unknown (protein for MGC:82436) [Xenopus laevis]",Q92890,UFD1,UFD1L,Ubiquitin fusion degradation 1 like (Yeast),dnai2
ENOG411DF3S,ENOG411DF3S,2,2,4,390237.640625,628232.828125,509235.234375,1.6098724539202054,0.6869463918268881,1,3,1.9674267100977199,0.9763098939548995,0.9862276347740007,Xelaev18005215m.g,Xenbase_9.1,rfc1.L,NA,P35251,RFC1,RFC140,"replication factor C (activator 1) 1, 145kDa",dnai2
ENOG411CPP5,ENOG411CPP5,3,3,4,2966663.59375,3581920.71875,3274292.15625,1.2073902569526889,0.2718920644687148,1,3,1.9674267100977199,0.9763098939548995,0.9862276347740007,"11035016, 148228303, 158429118, Xelaev18038781m.g, Xelaev18009263m.g, Xelaev18000122m.g","GenBank, Xenbase_9.1","smarca1.L, smarca5.S, smarca5.L","imitation switch ISWI [Xenopus laevis], SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5 [Xenopus laevis], Chain A, Sant Domain Structure Of Xenopus Remodeling Factor Iswi, NA","O60264, P28370","SMARCA5, SMARCA1","SNF2H WCRF135, SNF2L SNF2L1","SWI SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member",dnai2
ENOG411CS5G,ENOG411CS5G,3,3,4,1605345.4921875,1496891.03125,1551118.26171875,-1.0724531436646618,-0.10091461660189215,1,3,1.9674267100977199,0.9763098939548995,0.9862276347740007,"148237910, 159155457, 48735421, 50418211, 72679403, Xelaev18035545m.g, Xelaev18037448m.g","GenBank, Xenbase_9.1","zw10.L, zw10.S","ZW10, kinetochore associated, homolog [Xenopus laevis], Zw10 protein [Xenopus laevis], LOC445850 protein [Xenopus laevis], NA","Q96RU2, O43264","USP28, ZW10","KIAA1515, NA","ZW10, kinetochore associated, homolog (Drosophila)",dnai2
ENOG411D3W3,ENOG411D3W3,1,1,4,264735.59375,320170.796875,292453.1953125,1.2093983749587884,0.27428954558674606,1,3,1.9674267100977199,0.9763098939548995,0.9862276347740007,"126631444, Xelaev18016425m.g","GenBank, Xenbase_9.1",ndufc2.S,"LOC100049100 protein [Xenopus laevis], NA","O95298, E9PQ53","NDUFC2, NDUFC2-KCTD14",NA,"Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity)",dnai2
